"IDRSSD"	RCFD3543	RCFD3547	RCFDF240	RCFDF241	RCFDF242	RCFDF252	RCFDF253	RCFDF254	RCFDF261	RCFDF262	RCFDF263	RCFDF585	RCFDF589	RCFDF597	RCFDF601	RCFDF684	RCFDF686	RCFDF689	RCFDF692	RCFDF694	RCFDF697	RCFDG391	RCFDG392	RCFDG395	RCFDG396	RCFDG474	RCFDG475	RCFDG476	RCFDG477	RCFDG478	RCFDG479	RCFDG480	RCFDG481	RCFDG482	RCFDG483	RCFDG484	RCFDG485	RCFDG486	RCFDG487	RCFDG488	RCFDG489	RCFDG490	RCFDG491	RCFDG492	RCFDG493	RCFDG494	RCFDG495	RCFDG496	RCFDG497	RCFDG498	RCFDG499	RCFDG500	RCFDG501	RCFDG502	RCFDG503	RCFDG504	RCFDG505	RCFDG506	RCFDG507	RCFDG508	RCFDG509	RCFDG510	RCFDG511	RCFDG512	RCFDG513	RCFDG514	RCFDG515	RCFDG516	RCFDG517	RCFDG518	RCFDG519	RCFDG520	RCFDG521	RCFDG522	RCFDG523	RCFDG524	RCFDG525	RCFDG526	RCFDG527	RCFDG528	RCFDG529	RCFDG530	RCFDG531	RCFDG532	RCFDG533	RCFDG534	RCFDG535	RCFDG536	RCFDG537	RCFDG538	RCFDG539	RCFDG540	RCFDG541	RCFDG542	RCFDG543	RCFDG544	RCFDG545	RCFDG546	RCFDG547	RCFDG548	RCFDG549	RCFDG550	RCFDG551	RCFDG552	RCFDG553	RCFDG554	RCFDG555	RCFDG556	RCFDG557	RCFDG558	RCFDG559	RCFDG560	RCFDG561	RCFDG562	RCFDG563	RCFDG564	RCFDG565	RCFDG566	RCFDG567	RCFDG568	RCFDG569	RCFDG570	RCFDG571	RCFDG572	RCFDG573	RCFDG574	RCFDG575	RCFDG576	RCFDG577	RCFDG578	RCFDG579	RCFDG580	RCFDG581	RCFDG582	RCFDG583	RCFDG584	RCFDG585	RCFDG586	RCFDG587	RCFDG588	RCFDG589	RCFDG590	RCFDG804	RCFDG805	RCFDG806	RCFDG807	RCFDG808	RCFDG809	RCFDHT87	RCFDHT88	RCFDHT89	RCFDHT91	RCFDHT92	RCFDHT93	RCFDJA36	RCON3543	RCON3547	RCONF240	RCONF241	RCONF242	RCONF252	RCONF253	RCONF254	RCONF261	RCONF262	RCONF263	RCONF585	RCONF589	RCONF597	RCONF601	RCONF684	RCONF686	RCONF689	RCONF692	RCONF694	RCONF697	RCONG391	RCONG392	RCONG395	RCONG396	RCONG474	RCONG475	RCONG476	RCONG477	RCONG483	RCONG484	RCONG485	RCONG486	RCONG487	RCONG488	RCONG489	RCONG490	RCONG491	RCONG492	RCONG493	RCONG494	RCONG495	RCONG496	RCONG497	RCONG498	RCONG499	RCONG500	RCONG501	RCONG502	RCONG503	RCONG504	RCONG505	RCONG506	RCONG512	RCONG513	RCONG514	RCONG515	RCONG516	RCONG517	RCONG518	RCONG519	RCONG520	RCONG531	RCONG532	RCONG533	RCONG534	RCONG535	RCONG536	RCONG537	RCONG538	RCONG539	RCONG540	RCONG541	RCONG542	RCONG543	RCONG544	RCONG545	RCONG546	RCONG547	RCONG548	RCONG549	RCONG550	RCONG551	RCONG552	RCONG553	
12311	1084254	343575	0	0	0	0	0	0				0	0	0	0	0	0		0	0		194935	760998	0	784081	0	9949	10124347	3162388	0	0	0	0	0	954183	0	0	954183	0	91953	0	0	67210	24743	453148	0	1494774	42628	0	0	0	0	0	15622009	1214146	9949	13424595	3401611	0	0	0	0	0	1020926	0	1361726	2775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	343575	1106953	0	1447753	2775	171852				171852	23083	760998		784081																							86027		86027																						171852	0	86027	0	86027	0	1031130	15005	0	989430	14238	0	13296684																																																																																						
12647																																																																																																																																																																																																																																																	
12656																																																																																																																																																																																																																																																	
12946																																																																																																																																																																																																																																																	
13103																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		0	0	0	0	0	396291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396291	0	396291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			
13251																																																																																																																																																																																																																																																	
13457																																																																																																																																																																																																																																																	
14155																																																																																																																																																																																																																																																	
14650																																																																																																																																																																																																																																																	
14753																																																																																																																																																																																																																																																	
14865																																																																																																																																																																																																																																																	
14977																																																																																																																																																																				0	0	0							0			0																																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16551																																																																																																																																																																																																																																																	
16748																																																																																																																																																																																																																																																	
17110																																																																																																																																																																				0	0	0							0			0																																															0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17147																																																																																																																																																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84658	0	0	84658	0	0	1884368	2496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1971522	0	0	1969026	2496	0	0	0	0	0	0	0	0	0	85533	0	0	85533	0	0	0	0	0	0	84658	0	0	84658	0	0	0	0	0	0	0	0	0	
17259																																																																																																																																																																																																																																																	
17950																																																																																																																																																																																																																																																	
17978																																																																																																																																																																																																																																																	
18050																																																																																																																																																																																																																																																	
18827																																																																																																																																																																																																																																																	
18836																																																																																																																																																																																																																																																	
18854																																																																																																																																																																																																																																																	
19356																																																																																																																																																																																																																																																	
19936																																																																																																																																																																																																																																																	
19972																																																																																																																																																																																																																																																	
20053																																																																																																																																																																																																																																																	
20633																																																																																																																																																																																																																																																	
20857																																																																																																																																																																																																																																																	
21256																																																																																																																																																																																																																																																	
21359																																																																																																																																																																																																																																																	
21658																																																																																																																																																																																																																																																	
22048																																																																																																																																																																																																																																																	
22543																																																																																																																																																																																																																																																	
22552																																																																																																																																																																																																																																																	
22730																																																																																																																																																																																																																																																	
23456																																																																																																																																																																																																																																																	
23504																																																																																																																																																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62940	0	0	62940	0	0	537746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600686	0	0	600686	0	0	0	0	0	0	0	0	0	0	75281	0	0	75281	0	0	0	0	0	0	62940	0	0	62940	0	0	0	0	0	0	0	0	0	
23643																																																																																																																																																																																																																																																	
23755																																																																																																																																																																																																																																																	
24006																																																																																																																																																																																																																																																	
24378																																																																																																																																																																																																																																																	
24453																																																																																																																																																																																																																																																	
24659																																																																																																																																																																																																																																																	
24668																																																																																																																																																																																																																																																	
24949																																																																																																																																																																																																																																																	
25357																																																																																																																																																																																																																																																	
25647																																																																																																																																																																																																																																																	
26176																																																																																																																																																																																																																																																	
26457																																																																																																																																																																																																																																																	
26765																																																																																																																																																																																																																																																	
27070																																																																																																																																																																																																																																																	
27548																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		0	0	0	0	0	0	301726	0	15234	0	0	15234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316960	0	0	316960	0	0	0	0	0	0	0	0	0	0	1221	0	0	0	1221																			
27614																																																																																																																																																																																																																																																	
27847																																																																																																																																																																																																																																																	
28013																																																																																																																																																												1633	1637	0	0	0	0	0	0				0	0	0	0	0	0		0	0		0	0	0	0	0	215	1037489	0	0	0	0	0	0	0	0	0	0	0	0	0	1633	0	10038	0	10038	0	0	1049375	0	10253	1039122	0	0	0	1637	0	0	0	0	0	0	1637	0	0	1637	0																			
28152																																																																																																																																																																																																																																																	
28675																																																																																																																																																																																																																																																	
28732																																																																																																																																																																																																																																																	
29476																																																																																																																																																																																																																																																	
29636																																																																																																																																																																																																																																																	
29878																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		0	0	0	0	0	0	39461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39461	0	0	39461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			
30052																																																																																																																																																																																																																																																	
30502																																																																																																																																																																																																																																																	
30650																																																																																																																																																																																																																																																	
30810	0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		35	0	0	35	0	19914557	363389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20277981	0	19914557	363424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6689	0	0	6689	0																															6689			6689																						0	6689	0	0	6689	0	0	0	0	0	0	0	20277946																																																																																						
31134																																																																																																																																																																																																																																																	
31255																																																																																																																																																												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130452	0	0	130452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31657																																																																																																																																																																																																																																																	
31826																																																																																																																																																																																																																																																	
31835																																																																																																																																																																																																																																																	
32234																																																																																																																																																																																																																																																	
32766																																																																																																																																																																																																																																																	
32971																																																																																																																																																																																																																																																	
33147																																																																																																																																																																																																																																																	
33259																																																																																																																																																																																																																																																	
33268																																																																																																																																																																																																																																																	
33370																																																																																																																																																																																																																																																	
33839																																																																																																																																																																																																																																																	
33857																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		0	0	0	0	0	62447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62447	0	62447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			
34425																																																																																																																																																																																																																																																	
34434																																																																																																																																																																																																																																																	
34537																																																																																																																																																												0	0	0	0	0	0	0	0				908	0	838	0	0	0		0	0		31869	0	0	18390	0	6650	975923	0	54943	0	0	54943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1069385	0	6650	1049256	13479	0	0	0	0	0	0	0	0	0	16021	0	0	16021	0						16021			16021		15847			2368	13479				
